Date,Product,Region,Units,Price,Revenue
2024-02-21,Laptop,West,17,908,15436
2024-04-02,Keyboard,West,13,484,6292
2024-01-15,Laptop,North,3,496,1488
2024-03-12,Tablet,East,9,1381,12429
2024-03-01,Phone,West,17,298,5066
2024-01-21,Monitor,South,17,215,3655
2024-03-23,Tablet,North,16,1554,24864
2024-03-27,Laptop,West,13,1033,13429
2024-03-15,Monitor,West,19,1408,26752
2024-03-15,Laptop,South,17,1069,18173
2024-03-28,Laptop,East,4,591,2364
2024-04-09,Phone,East,12,808,9696
2024-01-24,Monitor,East,9,1179,10611
2024-01-03,Monitor,West,19,1636,31084
2024-01-22,Phone,West,12,130,1560
2024-02-22,Tablet,West,9,182,1638
2024-01-02,Laptop,North,7,846,5922
2024-03-28,Keyboard,South,14,949,13286
2024-01-30,Laptop,West,19,187,3553
2024-02-07,Laptop,South,15,233,3495
2024-01-02,Tablet,South,16,1474,23584
2024-03-04,Laptop,East,5,1403,7015
2024-02-29,Phone,North,3,834,2502
2024-01-21,Phone,West,12,1581,18972
2024-02-02,Monitor,East,4,1925,7700
2024-03-16,Keyboard,East,16,1033,16528
2024-02-27,Laptop,West,7,118,826
2024-01-22,Laptop,South,13,595,7735
2024-03-29,Tablet,East,10,1847,18470
2024-02-18,Phone,South,7,102,714
2024-03-31,Keyboard,North,14,1523,21322
2024-02-28,Monitor,South,5,254,1270
2024-02-11,Phone,North,3,175,525
2024-04-01,Monitor,South,11,1820,20020
2024-02-29,Tablet,East,11,92,1012
2024-03-20,Tablet,East,18,1825,32850
2024-01-15,Laptop,North,15,1956,29340
2024-03-02,Keyboard,West,12,160,1920
2024-03-02,Monitor,North,9,810,7290
2024-02-16,Phone,North,10,1736,17360
2024-03-02,Tablet,South,12,1256,15072
2024-02-20,Laptop,South,17,897,15249
2024-02-24,Laptop,North,6,144,864
2024-03-04,Monitor,East,7,1447,10129
2024-01-03,Tablet,South,14,1985,27790
2024-02-20,Keyboard,West,13,1593,20709
2024-01-07,Tablet,South,8,949,7592
2024-01-21,Monitor,South,10,409,4090
2024-03-13,Monitor,West,9,949,8541
2024-02-08,Tablet,North,18,1769,31842
2024-01-18,Monitor,West,2,330,660
2024-01-04,Tablet,North,5,1268,6340
2024-03-29,Phone,North,5,1937,9685
2024-02-29,Tablet,North,6,1268,7608
2024-01-14,Tablet,West,19,716,13604
2024-01-09,Monitor,North,8,142,1136
2024-03-30,Monitor,East,16,721,11536
2024-02-22,Laptop,West,13,110,1430
2024-01-02,Laptop,East,1,683,683
2024-03-24,Phone,North,17,1124,19108
2024-04-01,Laptop,South,7,1476,10332
2024-02-29,Tablet,North,13,1862,24206
2024-03-11,Monitor,East,4,1078,4312
2024-02-13,Laptop,East,4,1539,6156
2024-01-08,Laptop,West,6,653,3918
2024-02-16,Phone,South,19,731,13889
2024-02-04,Phone,West,12,1902,22824
2024-03-18,Tablet,East,7,583,4081
2024-03-21,Monitor,North,10,1478,14780
2024-02-05,Phone,South,19,887,16853
2024-02-19,Laptop,North,7,1586,11102
2024-01-04,Monitor,North,3,694,2082
2024-01-02,Monitor,South,13,282,3666
